"Bill of Materials from SM1000-C.sch, 199 parts, grouped by values, as of 10/30/2014 10:47:16 AM"
"Part","Qty","DEFINITION","MANUFACTURER","MFG_NUMBER","DISTRIBUTOR","DIST_NUMBER","GENERIC","ROHS","COST100",
"C1, C34, C55, C56","4","CAP CER 1000PF 50V 10% X7R 0402","MURATA","GRM155R71H102KA01D","DIGIKEY","490-1303-1-ND","Y","Y","0.006"
"C2, C3, C27","3","CAP CER 20PF 50V 5% NP0 0603","MURATA","GRM1885C1H200JA01D","DIGIKEY","490-1410-1-ND","Y","Y","0.021"
"C4, C7, C11, C13, C16, C18, C20, C22, C33, C37, C41, C42, C49, C51, C52, C58, C61, C62, C66","19","CAP CER 0.1UF 16V 10% X5R 0603","YAIYO YUDEN","EMK107BJ104KAHT","DIGIKEY","587-3308-1-ND","Y","Y","0.042"
"C5, C6, C10, C12, C24, C65","6","CAP CER 1UF 16V 10% X5R 0603","YAEGO","CC0603KRX5R7BB105","DIGIKEY","311-1444-1-ND","Y","Y","0.033"
"C8, C17, C19, C21, C53","5","CAP CER 10000PF 16V 10% X7R 0402","MURATA","GRM155R71C103KA01D","DIGIKEY","490-1313-1-ND","Y","Y","0.006"
"C9","1","CAP TANT 4.7UF 16V 10% 1206","AVX","TAJA475K016RNJ","DIGIKEY","478-3868-1-ND","Y","Y","0.260"
"C14, C15, C35, C50","4","CAP CER 2.2UF 16V 10% X5R 0603","TDK","C1608X5R1C225K080AB","DIGIKEY","445-5157-1-ND","Y","Y","0.0643"
"C23, C26, C46","3","CAP CER 0.1UF 25V 10% X7R 0603","MURATA","GRM188R71E104KA01D","DIGIKEY","490-1524-1-ND","Y","Y","0.008"
"C25, C29, C64, C70","4","CAP CER 22UF 25V 10% X5R 1210","MURATA","GRM32ER61E226KE15L","DIGIKEY","490-3889-1-ND","N","Y","0.540"
"C30","1","CAP CER 10000PF 25V 10% X7R 0603","MURATA","GRM188R71E103KA01D","DIGIKEY","490-1520-1-ND","Y","Y","0.011"
"C31","1","CAP CER 8200PF 50V 10% X7R 0603","SAMSUNG","CL10B822KB8NNNC","DIGIKEY","1276-2119-1-ND","Y","Y","0.005"
"C32, C59","2","CAP ALUM 100UF 6.3V 20% SMD","NICHICON","UWX0J101MCL1GB","DIGIKEY","493-2088-1-ND","Y","Y","0.114"
"C36, C38, C47","3","CAP CER 100UF 10V 20% X5R 1210","SAMSUNG","CL32A107MPVNNNE","DIGIKEY","1276-3364-1-ND","Y","Y","0.735"
"C39, C60, C63","3","CAP ALUM 220UF 25V 20% SMD","UNITED CHEMI-CON","EMVY250ADA221MHA0G","DIGIKEY","565-2463-1-ND","N","Y","0.412"
"C40","1","CAP CER 0.047UF 25V 10% X5R 0603","AVX","06033D473KAT2A","DIGIKEY","478-5051-1-ND","Y","Y","0.124"
"C43, C44, C45","3","CAP CER 100PF 50V 10% NP0 0603","SAMSUNG","CL10C101KB8NNNC","DIGIKEY","1276-2167-1-ND","Y","Y","0.012"
"C48","1","CAP CER 0.47UF 25V 10% X5R 0603","TDK","C1608X5R1E474K080AC","DIGIKEY","445-5144-1-ND","Y","Y","0.047"
"C54","1","CAP CER 100PF 16V 10% X7R 0603","AVX","0603YC101KAT2A","DIGIKEY","478-6207-1-ND","Y","Y","0.063"
"C57","1","CAP CER 3900PF 50V 10% X7R 0402","MURATA","GRM155R71H392KA01D","DIGIKEY","490-1307-1-ND","Y","Y","0.011"
"CN1, CN11","2","CONN HEADER 3POS .100 VERT GOLD","MOLEX","22-10-2031","DIGIKEY","WM2723-ND","N","Y",".495"
"CN2","1","CONN RECEPT MINIUSB R/A 5POS SMD","MOLEX","0675031020","DIGIKEY","WM5461CT-ND","N","Y","0.856"
"CN3","1","DC POWER CONN, FOR 2.1 X 5.5MM","YQLXDZ","DS-0518","YQLXDZ","DS-0518","N","Y","0.30"
"CN4","1","CONN MOD JACK R/A 8P8C","MOLEX","0441440003","DIGIKEY","WM4595CT-ND","N","Y","1.387"
"CN5, CN6, CN7, CN8, CN9, CN10","6","3.5mm STEREO, SWITCHED SMT CONN.","JISEN","ST-3509","JISEN","ST-3509","N","Y","0.20"
"CN12","1","CONN RECEPT 16POS 2MM GOLD DIP","HIROSE","A3C-16DA-2DSA(71)","DIGIKEY","H10897-ND","Y","Y","1.638"
"D1","1","DIODE SCHOTTKY 30V 0.5A 2TUMD","ROHM SEMI","RSX051VA-30TR","DIGIKEY","RSX051VA-30CT-ND","N","N","0.271"
"D2","1","DIODE SCHOTTKY 10V 3A SOD323","STM","BAT60JFILM","DIGIKEY","497-3707-1-ND","Y","Y","0.240"
"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8","8","FERRITE 500MA 600 OHM 0805 SMD","lAIRD","HZ0805E601R-10","DIGIKEY","240-2399-1-ND","N","Y","0.0381"
"J1, J3, J4","3","CONN HEADER 2POS .100 VERT GOLD","MOLEX","22-28-4023","DIJIKEY","WM6502-ND","Y","Y","0.190"
"L1","1","INDUCTOR POWER 4.2UH 2.5A SMD","BOURNS","SRR5028-4R2Y","DIGIKEY","SRR5028-4R2YCT-ND","N","N","0.456"
"LD2","1","OPTOISOLATR 5KV TRANSISTOR 4-SMD","LITE-ON","LTV-817S-TA1","DIGIKEY","160-1893-1-ND","N","Y","0.217"
"LED1, LED2","2","LED SUPR RED CLR RT ANG 0805","LITE-ON","LTST-S220KRKT","DIGIKEY","160-1469-1-ND","Y","Y","0.1151"
"LED3","1","LED GREEN CLEAR RT ANG 0805","LITE-ON","LTST-S220KGKT","DIGIKEY","160-1468-1-ND","N","Y","0.135"
"LED4","1","LED YELLOW CLEAR RT ANG 0805","LITE-ON","LTST-S220KSKT","DIGIKEY","160-1470-1-ND","N","Y","0.143"
"LED5","1","LED 660NM SUPER RED DIFF 0603SMD","LITE-ON","SML-LX0603SRW-TR","DIGIKEY","67-1551-1-ND","Y","Y","0.169"
"LED8","1","LED SUPR RED CLR RT ANG 0805","LITE-ON","LTST-S220KRKT","DIGIKEY","160-1469-1-ND","Y","Y","0.1151"
"MIC1","1","MIC COND ANALOG OMNI -44DB","CUI","CMA-4544PF-W","DIGIKEY","102-1721-ND","N","Y","0.569"
"P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16, P17, P18, P19, P20","20","TEST PAD, .050","NA","NA","NA","NA","NA","NA","0.0"
"PCB1","1","PCB - SM1000 REV. C","TBD(PCB UNIVERSE)","TBD","TBD","TBD","N","Y","5.750"
"R1, R7, R8, R25, R34, R37, R43, R44, R45, R48","10","RES 10.0K OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW060310K0FKEA","DIGIKEY","541-10.0KHCT-ND","Y","Y","0.025"
"R2, R3, R4, R5","4","RES 4.70K OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW06034K70FKEA","DIGIKEY","541-4.70KHCT-ND","Y","Y","0.025"
"R6, R17","2","RES 1.02K OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW06031K02FKEA","DIGIKEY","541-1.02KHCT-ND","Y","Y","0.025"
"R9, R29","2","RES 1.50K OHM 1/10W 1% 0603 SMD","VISHAY DALE","CRCW06031K50FKEA","DIGIKEY","541-1.50KHCT-ND","Y","Y","0.025"
"R10","1","RES 47.0 OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW060347R0FKEA","DIGIKEY","541-47.0HCT-ND","Y","Y","0.025"
"R11, R32","2","RES 100 OHM 1/10W 1% 0603 SMD","VISHAY","CRCW0603100RFKEA","DIGIKEY","541-100HCT-ND","Y","Y","0.030"
"R12, R13, R15, R16","4","RES 680 OHM 1/10W 1% 0603 SMD","VISHAY","CRCW0603680RFKEA","DIGIKEY","541-680HCT-ND","Y","Y","0.0250"
"R14","1","RES 220 OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW0603220RFKEA","DIGIKEY","541-220HCT-ND","Y","Y","0.025"
"R18, R21, R26, R30, R31, R54, R55","7","RES 0.0 OHM 1/8W JUMP 0805 SMD","VISHAY-DALE","CRCW08050000Z0EA","DIGIKEY","541-0.0ACT-ND","Y","Y","0.024"
"R19, R20, R27, R28","4","RES 22.0 OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW060322R0FKEA","DIGIKEY","541-22.0HCT-ND","Y","Y","0.025"
"R22, R36","2","RES 22.1K OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW060322K1FKEA","DIGIKEY","541-22.1KHCT-ND","Y","Y","0.025"
"R23, R24","2","RES 47.0K OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW060347K0FKEA","DIGIKEY","541-47.0KHCT-ND","Y","Y","0.025"
"R33, R38, R40, R41, R53, R56, R58","7","RES 2.20K OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW06032K20FKEA","DIGIKEY","541-2.20KHCT-ND","Y","Y","0.025"
"R35","1","RES 124K OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW0603124KFKEA","DIGIKEY","541-124KHCT-ND","Y","Y","0.025"
"R39","1","RES 4.70 OHM .5W 1% 1206 SMD","VISHAY DALE","CRCW12064R70FKEAHP","DIGIKEY","541-4.70UCT-ND","Y","Y","0.225"
"R42","1","TRIMMER 500K OHM 0.2W SMD","PANASONIC","EVM-1DSX30B55","DIGIKEY","P1D504CT-ND","Y","Y","0.339"
"R46","1","POT 100K OHM 9MM SQ RTANG PLAST","BOURNS","3310C-001-104L","DIGIKEY","3310C-001-104L-ND","N","Y","1.920"
"R47","1","TRIMMER 500 OHM 0.2W SMD","PANASONIC","EVM-1DSX30B52","DIGIKEY","P1D501CT-ND","Y","Y","0.339"
"R49","1","RES 4.70 OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW06034R70FKEA","DIGIKEY","541-4.70HHCT-ND","Y","Y","0.025"
"R50","1","RES 10.0 OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW060310R0FKEA","DIGIKEY","541-10.0HCT-ND","Y","Y","0.025"
"R51","1","RES 390 OHM 1/10W 1% 0603 SMD","VISHAY-DALE","CRCW0603390RFKEA","DIGIKEY","541-390HCT-ND","Y","Y","0.025"
"R52","1","TRIMMER 1K OHM 0.2W SMD","PANASONIC","EVM-1DSX30B13","DIGIKEY","P1D102CT-ND","Y","Y","0.339"
"R57","1","RES 470 OHM 1/10W 1% 0603 SMD","VISHAY DALE","CRCW0603470RFKEA","DIGIKEY","541-470HCT-ND","Y","Y","0.035"
"SH1, SH3","2","SHUNT LP 2 POS SN","TYCO AMP","1-382811-6","DIGIKEY","A26231-ND","Y","Y","0.210"
"SPKR1","1","SPKR, 40mm,8Ohm","SHENZHEN HY ELECTRON","HY4004M-001","SHENZHEN HY ELECTRON","HY4004M-001","N","Y","0.50"
"SW1, SW2, SW4","3","4.5X4.5mm TACTILE SWIRCH RA TH","YQLXDZ","TS-026","YQLXDZ","TS-026","N","Y","0.05"
"SW3","1","SWITCH PUSH DPDT 0.1A 30V","E-SWITCH","PBH2UEENAGX","DIGIKEY","EG2655-ND","N","Y","1.332"
"SW5","1","4.5X4.5mm TACT SWITCH SMT","YQLXDZ","TS-02B","YQLXDZ.COM","TS-02B","N","Y","0.05"
"T1, T2","2","TRANSF LINE MATCHING SMD","BOURNS","SM-LP-5001E","DIGIKEY","SM-LP-5001ECT-ND","N","Y","1.506"
"U1","1","IC MCU 32BIT 1MB FLASH 100LQFP","STM","STM32F405VGT6","DIGIKEY","497-11910-ND","N","Y","9.364"
"U2","1","IC REG LDO 3.3V 0.15A SOT23-5","STM","LD3985M33R","DIGIKEY","497-3504-1-ND","N","Y","0.466"
"U3","1","IC PWR SWITCH 1CH 500MA SOT23-5","STM","STMPS2141STR","DIGIKEY","497-6933-1-ND","N","Y","0.480"
"U4","1","I C EMI FILTR/ESD PROT 11FLIPCHIP","STM","EMIF02-USB03F2","DIGIKEY","497-13521-1-ND","N","Y","0.525"
"U5","1","IC REG BUCK SYNC ADJ 3A 8SOPWR","TI","TPS54329EDDAR","DIGIKEY","296-29856-1-ND","N","Y","1.650"
"U6, U7, U9","3","IC OPAMP GP 1MHZ RRO SOT23-","TI","LMV341IDBVR","DIGIKEY","296-17843-1-ND","N","Y","0.556"
"U8","1","IC AMP AUDIO PWR .325W AB 8SOIC","TI","LM386MX-1/NOPB","DIGIKEY","LM386MX-1/NOPBCT-ND","N","Y","0.687"
"XTAL1","1","CRYSTAL 8MHZ 20PF SMD","CTS","405C35E08M00000","DIGIKEY","405C35E08M00000-ND","Y","Y","0.550"
